feature,importance
user_segment_PNB_Rajasthan_46-55,0.0019320111
user_segment_PNB_Telangana_26-35,0.0019319961
user_segment_Yes Bank_Uttar Pradesh_36-45,0.0019271591
activity_intensity,0.0019258746
user_segment_Axis_Maharashtra_36-45,0.0019257735
user_segment_ICICI_Uttar Pradesh_36-45,0.0019245928
user_segment_SBI_Rajasthan_26-35,0.0019233207
user_segment_PNB_Maharashtra_46-55,0.0019201492
AMT_REQ_CREDIT_BUREAU_MON,0.0019187895
NAME_EDUCATION_TYPE_Incomplete higher,0.0019184939
AMT_REQ_CREDIT_BUREAU_WEEK,0.0019179916
user_segment_HDFC_Telangana_36-45,0.001915596
user_segment_ICICI_Andhra Pradesh_18-25,0.0019141895
user_segment_Axis_Uttar Pradesh_36-45,0.001909625
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0019057093
FLAG_DOCUMENT_11,0.0019054362
NAME_HOUSING_TYPE_With parents,0.0019024002
user_segment_SBI_Andhra Pradesh_18-25,0.0019010191
user_segment_HDFC_Maharashtra_26-35,0.001899931
user_segment_ICICI_Telangana_26-35,0.0018983039
user_segment_HDFC_Karnataka_18-25,0.0018977686
user_segment_HDFC_Rajasthan_18-25,0.0018976892
OCCUPATION_TYPE_Medicine staff,0.0018965111
user_segment_ICICI_West Bengal_18-25,0.0018941722
user_segment_HDFC_Andhra Pradesh_36-45,0.0018851128
user_segment_SBI_West Bengal_56+,0.0018824859
user_segment_Yes Bank_Maharashtra_18-25,0.0018820693
user_segment_ICICI_Delhi_18-25,0.001878384
NAME_FAMILY_STATUS_Widow,0.0018702386
user_segment_SBI_Rajasthan_56+,0.0018679432
user_segment_Yes Bank_Delhi_18-25,0.001858782
user_segment_IndusInd_Maharashtra_56+,0.0018533475
user_segment_PNB_Rajasthan_36-45,0.0018519463
user_segment_PNB_Karnataka_46-55,0.001851005
user_segment_IndusInd_West Bengal_26-35,0.0018481677
user_segment_Yes Bank_Gujarat_56+,0.0018443859
NAME_EDUCATION_TYPE_Lower secondary,0.0018412058
user_segment_ICICI_Maharashtra_56+,0.0018406602
user_segment_Kotak_Telangana_56+,0.0018381263
user_segment_Yes Bank_Maharashtra_46-55,0.001837579
user_segment_ICICI_Gujarat_46-55,0.0018342042
user_segment_Yes Bank_Uttar Pradesh_26-35,0.0018288246
NAME_HOUSING_TYPE_Co-op apartment,0.0018279958
user_segment_SBI_West Bengal_46-55,0.0018257815
user_segment_SBI_Gujarat_46-55,0.0018228448
user_segment_Axis_Karnataka_56+,0.0018194958
user_segment_PNB_Karnataka_26-35,0.0018188037
user_segment_PNB_Gujarat_36-45,0.001812684
OCCUPATION_TYPE_nan,0.0018118644
user_segment_HDFC_Gujarat_36-45,0.001810682
OBS_30_CNT_SOCIAL_CIRCLE,0.001810429
user_segment_SBI_Delhi_46-55,0.0018097888
user_segment_IndusInd_Tamil Nadu_26-35,0.0018090963
YEARS_BEGINEXPLUATATION_AVG,0.0018008642
ORGANIZATION_TYPE_Other,0.0017931408
user_segment_Yes Bank_Andhra Pradesh_26-35,0.0017929887
